SIC Sectors,Weighted Return Tc Abs,Weighted Return Tc,Fraction of Strategy Total Return
"Agriculture, Forestry, and Fishing",0.027690008,0.002728307,0.6%
Construction,0.100877115,-0.00491031,-1.1%
"Finance, Insurance, and Real Estate",0.968690441,0.093373227,21.3%
Manufacturing,8.01831497,0.211542343,48.2%
Mining,0.537264279,0.062764268,14.3%
Retail Trade,0.666982584,-0.011442582,-2.6%
Services,3.813091228,0.05607286,12.8%
"Transportation, Communications, Electric, Gas, and Sanitary Services",1.123121366,0.007991244,1.8%
Wholesale Trade,0.91858144,0.020442034,4.7%
Grand Total,16.17461343,0.438561391,100.0%
